ut_ms,subsystem
1278765561000,"MOCE.0000004168"
1278766715000,"AMMMF06A0"
1278766725000,"ATTTF310B"
1278766745000,"AMMMF05A0"
1278767612000,"ATMB091K"
1278767915000,"ASSSF06A0"
1278768871000,"AXXX305B"
1278770186000,"AAAAF60A1"
1278770191000,"AAAAF23G1"
1278770196000,"AAAAF57A1"
1278770201000,"AAAAF20C1"
1278777983000,"MAPO.0000008347"
1278781758000,"AAAAF20C1"
1278781763000,"AAAAF57A1"
1278781768000,"AAAAF23G1"
1278781773000,"AAAAF60A1"
1278790047000,"MOCS.0000004169"
1278790567000,"MPER.0000008347"
1278790730000,"MOCE.0000004169"
1278794274000,"ASEQ4200"
1278794368000,"AXXX301B"
1278795357000,"AAAAF60A1"
1278795362000,"AAAAF23G1"
1278795367000,"AAAAF57A1"
1278795372000,"AAAAF20C1"
1278803159000,"MAPO.0000008348"
1278806922000,"AAAAF20C1"
1278806927000,"AAAAF57A1"
1278806932000,"AAAAF23I1"
1278806935000,"AAAAF23G1"
1278806940000,"AAAAF60A1"
1278808849000,"AAAAF85A1"
1278808869000,"AAAAF83B1"
1278808879000,"AAAAF02A1"
1278808939000,"AAAAF56A1"
1278808941000,"AAAAF84A1"
1278808946000,"AAAAF56A1"
1278808959000,"AAAAF56A1"
1278808973000,"AAAAF56A1"
1278808986000,"AAAAF56A1"
1278809000000,"AAAAF56A1"
1278809014000,"AAAAF56A1"
1278809027000,"AAAAF56A1"
1278809041000,"AAAAF56A1"
1278809054000,"AAAAF56A1"
1278809068000,"AAAAF56A1"
1278809071000,"AAAAF56A1"
1278809085000,"AAAAF56A1"
1278809098000,"AAAAF56A1"
1278809111000,"AAAAF56A1"
1278809124000,"AAAAF56A1"
1278809174000,"AAAAF85A1"
1278809214000,"AAAAF02A1"
1278809274000,"AAAAF56A1"
1278809276000,"AAAAF84A1"
1278809281000,"AAAAF56A1"
1278809294000,"AAAAF56A1"
1278809308000,"AAAAF56A1"
1278809321000,"AAAAF56A1"
1278809335000,"AAAAF56A1"
1278809349000,"AAAAF56A1"
1278809362000,"AAAAF56A1"
1278809376000,"AAAAF56A1"
1278809389000,"AAAAF56A1"
1278809403000,"AAAAF56A1"
1278809406000,"AAAAF56A1"
1278809420000,"AAAAF56A1"
1278809433000,"AAAAF56A1"
1278809446000,"AAAAF56A1"
1278809459000,"AAAAF56A1"
1278809509000,"AAAAF85A1"
1278809549000,"AAAAF02A1"
1278809609000,"AAAAF56A1"
1278809611000,"AAAAF84A1"
1278809641000,"AAAAF85A1"
1278809701000,"AAAAF03A1"
1278809706000,"AAAAF83A1"
1278809711000,"AAAAF56A1"
1278809716000,"AAAAF84A1"
1278812627000,"ATTTF301E"
1278812747000,"APSF01A2"
1278812867000,"APSF02A1"
1278812872000,"APSF89A1"
1278812877000,"APSF40A1"
1278812882000,"APSF31A1"
1278813047000,"APSF23B1"
1278813052000,"APSF33A1"
1278813057000,"APSF28A1"
1278813062000,"APSF28A1"
1278813067000,"APSF28A1"
1278813072000,"APSF28A1"
1278813077000,"APSF28A1"
1278813082000,"APSF28A1"
1278813087000,"APSF28A1"
1278813092000,"APSF28A1"
1278813097000,"APSF30C2"
1278813102000,"APSF30B2"
1278813107000,"APSF30A1"
1278813112000,"APSF38A1"
1278813117000,"APSF38A1"
1278813122000,"APSF38A1"
1278813127000,"APSF38A1"
1278813132000,"APSF13A3"
1278813162000,"APSF82A1"
1278813227000,"ATTTF310A"
1278813947000,"APSF12H1"
1278813972000,"APSF32A1"
1278813982000,"APSF50A2"
1278814127000,"AMMMF01A0"
1278814187000,"AMMMF12A0"
1278814192000,"AMMMF11A0"
1278814197000,"AMMMF10A0"
1278814202000,"AMMMF10A0"
1278814207000,"AMMMF24A0"
1278814212000,"AMMMF23A0"
1278814362000,"AMMMF18A0"
1278814367000,"AMMMF19A0"
1278815232000,"MOCS.0000004170"
1278815747000,"MPER.0000008348"
1278815906000,"MOCE.0000004170"
1278817067000,"AMMMF06A0"
1278817077000,"ATTTF310B"
1278817097000,"AMMMF05A0"
1278817607000,"APSF03A3"
1278817727000,"APSF14A2"
1278817787000,"APSF06A2"
1278817802000,"ATTTF301F"
1278820538000,"AAAAF60A1"
1278820543000,"AAAAF23G1"
1278820548000,"AAAAF57A1"
1278820553000,"AAAAF20C1"
1278824143000,"AAAAF23B2"
1278824167000,"AAAAF19E1"
1278824263000,"AAAAF20E1"
1278824268000,"AAAAF20E1"
1278824273000,"AAAAF20E1"
1278824278000,"AAAAF93A1"
1278824308000,"AAAAF19D1"
1278824322000,"AAAAF59A1"
1278824383000,"AAAAF20C1"
1278824388000,"AAAAF19A1"
1278824423000,"AAAAF85A1"
1278824433000,"AAAAF10A1"
1278824438000,"AAAAF87A1"
1278824443000,"AAAAF06A1"
1278825639000,"SCMN.0000002040"
1278828338000,"MAPO.0000008349"
1278834925000,"AAAAF01A3"
1278835088000,"AAAAF03A1"
1278835098000,"AAAAF09C1"
1278835114000,"AAAAF56A1"
1278835119000,"AAAAF84A1"
1278835123000,"AAAAF18D1"
1278835128000,"AAAAF20E1"
1278835133000,"AAAAF20E1"
1278835138000,"AAAAF20E1"
1278835143000,"AAAAF93A1"
1278835173000,"AAAAF20D1"
1278835178000,"AAAAF59A1"
1278835180000,"AAAAF18A1"
1278835185000,"AAAAF20B1"
1278835190000,"AAAAF20C1"
1278835195000,"AAAAF20C1"
1278835201000,"AAAAF20C1"
1278835206000,"AAAAF57A1"
1278835208000,"AAAAF23I1"
1278835209000,"AAAAF23G1"
1278835211000,"AAAAF23H1"
1278835213000,"AAAAF18E1"
1278835215000,"AAAAF23A2"
1278835237000,"AAAAF26B1"
1278835238000,"AAAAF24A1"
1278835239000,"AAAAF23G1"
1278835244000,"AAAAF60A1"
1278837805000,"ATTTF301E"
1278837925000,"APSF01A2"
1278838045000,"APSF02A1"
1278838050000,"APSF89A1"
1278838055000,"APSF40A1"
1278838060000,"APSF31A1"
1278838225000,"APSF23B1"
1278838230000,"APSF33A1"
1278838235000,"APSF28A1"
1278838240000,"APSF28A1"
1278838245000,"APSF28A1"
1278838250000,"APSF28A1"
1278838255000,"APSF28A1"
1278838260000,"APSF28A1"
1278838265000,"APSF28A1"
1278838270000,"APSF28A1"
1278838275000,"APSF30C2"
1278838280000,"APSF30B2"
1278838285000,"APSF30A1"
1278838290000,"APSF38A1"
1278838295000,"APSF38A1"
1278838300000,"APSF38A1"
1278838305000,"APSF38A1"
1278838310000,"APSF13A3"
1278838340000,"APSF82A1"
1278838405000,"ATTTF310A"
1278839125000,"APSF12H1"
1278839150000,"APSF32A1"
1278839160000,"APSF50A2"
1278839305000,"AMMMF01A0"
1278839365000,"AMMMF12A0"
1278839370000,"AMMMF11A0"
1278839375000,"AMMMF10A0"
1278839380000,"AMMMF10A0"
1278839385000,"AMMMF24A0"
1278839390000,"AMMMF23A0"
1278839540000,"AMMMF18A0"
1278839545000,"AMMMF19A0"
1278840414000,"MOCS.0000004171"
1278840925000,"MPER.0000008349"
1278841079000,"MOCE.0000004171"
1278842245000,"AMMMF06A0"
1278842255000,"ATTTF310B"
1278842275000,"AMMMF05A0"
1278842785000,"APSF03A3"
1278842905000,"APSF14A2"
1278842965000,"APSF06A2"
1278842980000,"ATTTF301F"
1278845191000,"ASSSF01A0"
1278845251000,"ASSSF55A0"
1278845716000,"AAAAF60A1"
1278845721000,"AAAAF23G1"
1278845726000,"AAAAF57A1"
1278845731000,"AAAAF20C1"
1278846031000,"ASSSF06A0"
1278847326000,"ATTTF321A"
1278848430000,"AXXX305B"
1278848970000,"ASEQ4200"
1278853346000,"AXXX301B"
1278853518000,"MAPO.0000008350"
1278856911000,"AOOOF01D0"
1278857216000,"ATTTF321D"
1278857226000,"AOOOF15A0"
1278857250000,"AAAAF20C1"
1278857255000,"AAAAF57A1"
1278857260000,"AAAAF23G1"
1278857265000,"AAAAF60A1"
1278857266000,"AOOOF02A1"
1278864786000,"ATTTF301E"
1278864906000,"APSF01A2"
1278865026000,"APSF02A1"
1278865031000,"APSF89A1"
1278865036000,"APSF40A1"
1278865041000,"APSF31A1"
1278865206000,"APSF23B1"
1278865211000,"APSF33A1"
1278865216000,"APSF28A1"
1278865221000,"APSF28A1"
1278865226000,"APSF28A1"
1278865231000,"APSF28A1"
1278865236000,"APSF28A1"
1278865241000,"APSF28A1"
1278865246000,"APSF28A1"
1278865251000,"APSF28A1"
1278865256000,"APSF30C2"
1278865261000,"APSF30B2"
1278865266000,"APSF30A1"
1278865271000,"APSF38A1"
1278865276000,"APSF38A1"
1278865281000,"APSF38A1"
1278865286000,"APSF38A1"
1278865291000,"APSF13A3"
1278865321000,"APSF82A1"
1278865601000,"MOCS.0000004172"
1278865867000,"AOOOF03A1"
1278865897000,"AOOOF04A0"
1278865921000,"AOOOF63A0"
1278866106000,"MPER.0000008350"
1278866131000,"APSF32A1"
1278866141000,"APSF50A2"
1278866257000,"MOCE.0000004172"
1278866346000,"APSF30C2"
1278866406000,"APSF50A2"
1278866466000,"AOOOF68A0"
1278866473000,"AOOOF64A0"
1278866586000,"APSF30C2"
1278866646000,"ASSSF01A0"
1278866706000,"ASSSF56A0"
1278866826000,"APSF30C2"
1278866886000,"APSF50A2"
1278866946000,"AOOOF68A0"
1278866953000,"AOOOF64A0"
1278867066000,"APSF30C2"
1278867126000,"APSF50A2"
1278867301000,"AOOOF66A0"
1278867306000,"APSF30C2"
1278867366000,"APSF50A2"
1278867546000,"APSF30C2"
1278867606000,"APSF50A2"
1278867786000,"APSF30C2"
1278867846000,"APSF50A2"
1278867906000,"AOOOF68A0"
1278867913000,"AOOOF64A0"
1278868026000,"APSF35A1"
1278868086000,"APSF03A3"
1278868266000,"APSF14A2"
1278868446000,"APSF06A2"
1278868461000,"ATTTF301F"
1278869106000,"ASSSF06A0"
1278869826000,"AOOOF62A0"
1278869856000,"AOOOF77A0"
1278869876000,"AOOOF05A0"
1278869946000,"AOOOF06A0"
1278870897000,"AAAAF60A1"
1278870902000,"AAAAF23G1"
1278870907000,"AAAAF57A1"
1278870912000,"AAAAF20C1"
1278871829000,"AXXX305B"
1278878697000,"MAPO.0000008351"
1278882412000,"AAAAF20C1"
1278882417000,"AAAAF57A1"
1278882422000,"AAAAF23G1"
1278882427000,"AAAAF60A1"
1278886184000,"ATTTF321A"
1278888764000,"ATTTF310A"
1278888774000,"ASEQ4200"
1278888881000,"AXXX301B"
1278889484000,"AMMMF04A0"
1278889664000,"AMMMF01A0"
1278889724000,"AMMMF12A0"
1278889729000,"AMMMF11A0"
1278889734000,"AMMMF10A0"
1278889739000,"AMMMF10A0"
1278889744000,"AMMMF24A0"
1278889749000,"AMMMF23A0"
1278889754000,"AMMMF20A0"
1278889774000,"ATTTF321D"
1278889784000,"AOOOF15B0"
1278889824000,"AOOOF22A1"
1278889899000,"AMMMF18A0"
1278889904000,"AMMMF19A0"
1278890025000,"AOOOF03A1"
1278890055000,"AOOOF04A0"
1278890079000,"AOOOF23A0"
1278890264000,"ASSSF01A0"
1278890324000,"ASSSF56A0"
1278890783000,"MOCS.0000004173"
1278890984000,"ASSSF06A0"
1278891284000,"MPER.0000008351"
1278891314000,"AOOOF77A0"
1278891334000,"AOOOF05A0"
1278891404000,"AOOOF06A0"
1278891429000,"MOCE.0000004173"
1278892604000,"AMMMF06A0"
1278892614000,"ATTTF310B"
1278892634000,"AMMMF05A0"
1278893588000,"ASSSF01A0"
1278893648000,"ASSSF53A0"
1278894308000,"ASSSF06A0"
1278896074000,"AAAAF60A1"
1278896079000,"AAAAF23G1"
1278896084000,"AAAAF57A1"
1278896089000,"AAAAF20C1"
1278903388000,"AXXX305B"
1278903873000,"MAPO.0000008352"
1278903928000,"ASEQ4200"
1278905539000,"ASXX307A"
1278905554000,"ASXX382C"
1278907569000,"AAAAF20C1"
1278907574000,"AAAAF57A1"
1278907579000,"AAAAF23G1"
1278907584000,"AAAAF60A1"
1278913461000,"ASXX303A"
1278914329000,"ASEQ4200"
1278914424000,"AXXX301B"
1278915552000,"ASSSF01A0"
1278915612000,"ASSSF53A0"
1278915961000,"MOCS.0000004174"
1278916332000,"ASSSF06A0"
1278916458000,"MPER.0000008352"
1278916599000,"MOCE.0000004174"
1278917742000,"ASSSF01A0"
1278917802000,"ASSSF53A0"
1278918282000,"ASSSF06A0"
1278921248000,"AAAAF60A1"
1278921253000,"AAAAF23G1"
1278921258000,"AAAAF57A1"
1278921263000,"AAAAF20C1"
1278929048000,"MAPO.0000008353"
1278932730000,"AAAAF20C1"
1278932735000,"AAAAF57A1"
1278932740000,"AAAAF23I1"
1278932743000,"AAAAF23G1"
1278932748000,"AAAAF60A1"
1278934735000,"AAAAF85A1"
1278934755000,"AAAAF83B1"
1278934765000,"AAAAF02A1"
1278934825000,"AAAAF56A1"
1278934827000,"AAAAF84A1"
1278934832000,"AAAAF56A1"
1278934845000,"AAAAF56A1"
1278934859000,"AAAAF56A1"
1278934872000,"AAAAF56A1"
1278934886000,"AAAAF56A1"
1278934900000,"AAAAF56A1"
1278934913000,"AAAAF56A1"
1278934927000,"AAAAF56A1"
1278934940000,"AAAAF56A1"
1278934954000,"AAAAF56A1"
1278934957000,"AAAAF56A1"
1278934971000,"AAAAF56A1"
1278934984000,"AAAAF56A1"
1278934997000,"AAAAF56A1"
1278935010000,"AAAAF56A1"
1278935060000,"AAAAF85A1"
1278935100000,"AAAAF02A1"
1278935160000,"AAAAF56A1"
1278935162000,"AAAAF84A1"
1278935167000,"AAAAF56A1"
1278935180000,"AAAAF56A1"
1278935194000,"AAAAF56A1"
1278935207000,"AAAAF56A1"
1278935221000,"AAAAF56A1"
1278935235000,"AAAAF56A1"
1278935248000,"AAAAF56A1"
1278935262000,"AAAAF56A1"
1278935275000,"AAAAF56A1"
1278935289000,"AAAAF56A1"
1278935292000,"AAAAF56A1"
1278935306000,"AAAAF56A1"
1278935319000,"AAAAF56A1"
1278935332000,"AAAAF56A1"
1278935345000,"AAAAF56A1"
1278935395000,"AAAAF85A1"
1278935435000,"AAAAF02A1"
1278935495000,"AAAAF56A1"
1278935497000,"AAAAF84A1"
1278935527000,"AAAAF85A1"
1278935587000,"AAAAF03A1"
1278935592000,"AAAAF83A1"
1278935597000,"AAAAF56A1"
1278935602000,"AAAAF84A1"
1278939527000,"ASSSF01A0"
1278939587000,"ASSSF55A0"
1278940367000,"ASSSF06A0"
1278941142000,"MOCS.0000004175"
1278941633000,"MPER.0000008353"
1278941770000,"MOCE.0000004175"
1278943193000,"ASSSF01A0"
1278943253000,"ASSSF53A0"
1278943853000,"ASSSF06A0"
1278946424000,"AAAAF60A1"
1278946429000,"AAAAF23G1"
1278946434000,"AAAAF57A1"
1278946439000,"AAAAF20C1"
1278950029000,"AAAAF23B2"
1278950053000,"AAAAF19E1"
1278950149000,"AAAAF20E1"
1278950154000,"AAAAF20E1"
1278950159000,"AAAAF20E1"
1278950164000,"AAAAF93A1"
1278950194000,"AAAAF19D1"
1278950208000,"AAAAF59A1"
1278950269000,"AAAAF20C1"
1278950274000,"AAAAF19A1"
1278950309000,"AAAAF85A1"
1278950319000,"AAAAF10A1"
1278950324000,"AAAAF87A1"
1278950329000,"AAAAF06A1"
1278951522000,"SCMN.0000002041"
1278954221000,"MAPO.0000008354"
1278960805000,"AAAAF01A3"
1278960968000,"AAAAF03A1"
1278960978000,"AAAAF09C1"
1278960994000,"AAAAF56A1"
1278960999000,"AAAAF84A1"
1278961003000,"AAAAF18D1"
1278961008000,"AAAAF20E1"
1278961013000,"AAAAF20E1"
1278961018000,"AAAAF20E1"
1278961023000,"AAAAF93A1"
1278961053000,"AAAAF20D1"
1278961058000,"AAAAF59A1"
1278961060000,"AAAAF18A1"
1278961065000,"AAAAF20B1"
1278961070000,"AAAAF20C1"
1278961075000,"AAAAF20C1"
1278961081000,"AAAAF20C1"
1278961086000,"AAAAF57A1"
1278961088000,"AAAAF23I1"
1278961089000,"AAAAF23G1"
1278961091000,"AAAAF23H1"
1278961093000,"AAAAF18E1"
1278961095000,"AAAAF23A2"
1278961117000,"AAAAF26B1"
1278961118000,"AAAAF24A1"
1278961119000,"AAAAF23G1"
1278961124000,"AAAAF60A1"
1278964285000,"ATTTF301E"
1278964405000,"APSF01A2"
1278964525000,"APSF02A1"
1278964530000,"APSF89A1"
1278964535000,"APSF40A1"
1278964540000,"APSF31A1"
1278964705000,"APSF23B1"
1278964710000,"APSF33A1"
1278964715000,"APSF28A1"
1278964720000,"APSF28A1"
1278964725000,"APSF28A1"
1278964730000,"APSF28A1"
1278964735000,"APSF28A1"
1278964740000,"APSF28A1"
1278964745000,"APSF28A1"
1278964750000,"APSF28A1"
1278964755000,"APSF30C2"
1278964760000,"APSF30B2"
1278964765000,"APSF30A1"
1278964770000,"APSF38A1"
1278964775000,"APSF38A1"
1278964780000,"APSF38A1"
1278964785000,"APSF38A1"
1278964790000,"APSF13A3"
1278964820000,"APSF82A1"
1278965605000,"APSF12H1"
1278965630000,"APSF32A1"
1278965640000,"APSF50A2"
1278965683000,"ATTTF301A"
1278965688000,"ATTTF301I"
1278966317000,"MOCS.0000004176"
1278966805000,"MPER.0000008354"
1278966865000,"ASSSF01A0"
1278966883000,"AHHHF01A2"
1278966925000,"ASSSF56A0"
1278966938000,"MOCE.0000004176"
1278967003000,"AHHHF02A1"
1278967053000,"AHHHF11A1"
1278967116000,"AHHHF03A2"
1278967117000,"AHHHF17C2"
1278967146000,"AHHHF04A3"
1278967181000,"AHHHF50A2"
1278967534000,"AHHHF05A2"
1278967541000,"AHHHF13A1"
1278967584000,"AHHHF06A1"
1278967704000,"ATTTF301B"
1278967709000,"ATTTF301J"
1278969265000,"APSF03A3"
1278969325000,"ASSSF06A0"
1278969385000,"APSF14A2"
1278969445000,"APSF06A2"
1278969460000,"ATTTF301F"
1278971596000,"AAAAF60A1"
1278971601000,"AAAAF23G1"
1278971606000,"AAAAF57A1"
1278971611000,"AAAAF20C1"
1278973205000,"ATTTF321A"
1278979397000,"MAPO.0000008355"
1278982790000,"AOOOF01D0"
1278983050000,"AAAAF20C1"
1278983055000,"AAAAF57A1"
1278983060000,"AAAAF23I1"
1278983063000,"AAAAF23G1"
1278983068000,"AAAAF60A1"
1278983095000,"ATTTF321D"
1278983105000,"AOOOF15A0"
1278983145000,"AOOOF02A1"
1278985087000,"AAAAF85A1"
1278985107000,"AAAAF83B1"
1278985117000,"AAAAF02A1"
1278985177000,"AAAAF56A1"
1278985179000,"AAAAF84A1"
1278985184000,"AAAAF56A1"
1278985197000,"AAAAF56A1"
1278985211000,"AAAAF56A1"
1278985224000,"AAAAF56A1"
1278985238000,"AAAAF56A1"
1278985252000,"AAAAF56A1"
1278985265000,"AAAAF56A1"
1278985279000,"AAAAF56A1"
1278985292000,"AAAAF56A1"
1278985306000,"AAAAF56A1"
1278985309000,"AAAAF56A1"
1278985323000,"AAAAF56A1"
1278985336000,"AAAAF56A1"
1278985349000,"AAAAF56A1"
1278985362000,"AAAAF56A1"
1278985412000,"AAAAF85A1"
1278985452000,"AAAAF02A1"
1278985512000,"AAAAF56A1"
1278985514000,"AAAAF84A1"
1278985519000,"AAAAF56A1"
1278985532000,"AAAAF56A1"
1278985546000,"AAAAF56A1"
1278985559000,"AAAAF56A1"
1278985573000,"AAAAF56A1"
1278985587000,"AAAAF56A1"
1278985600000,"AAAAF56A1"
1278985614000,"AAAAF56A1"
1278985627000,"AAAAF56A1"
1278985641000,"AAAAF56A1"
1278985644000,"AAAAF56A1"
1278985658000,"AAAAF56A1"
1278985671000,"AAAAF56A1"
1278985684000,"AAAAF56A1"
1278985697000,"AAAAF56A1"
1278985747000,"AAAAF85A1"
1278985787000,"AAAAF02A1"
1278985847000,"AAAAF56A1"
1278985849000,"AAAAF84A1"
1278985879000,"AAAAF85A1"
1278985939000,"AAAAF03A1"
1278985944000,"AAAAF83A1"
1278985949000,"AAAAF56A1"
1278985954000,"AAAAF84A1"
1278989465000,"ATTTF310A"
1278990185000,"AMMMF04A0"
1278990365000,"AMMMF01A0"
1278990425000,"AMMMF10A0"
1278990430000,"AMMMF10A0"
1278990600000,"AMMMF18A0"
1278990605000,"AMMMF19A0"
1278990702000,"ATTTF301A"
1278990707000,"ATTTF301I"
1278991504000,"MOCS.0000004177"
1278991746000,"AOOOF03A1"
1278991776000,"AOOOF04A0"
1278991800000,"AOOOF63A0"
1278991902000,"AHHHF01A2"
1278991985000,"MPER.0000008355"
1278992021000,"AHHHF02A1"
1278992071000,"AHHHF11A1"
1278992114000,"MOCE.0000004177"
1278992135000,"AHHHF03A2"
1278992136000,"AHHHF17A1"
1278992137000,"AHHHF17A1"
1278992164000,"AHHHF04A3"
1278992199000,"AHHHF50A2"
1278992345000,"AOOOF68A0"
1278992352000,"AOOOF64A0"
1278992525000,"ASSSF01A0"
1278992535000,"AHHHF05A2"
1278992542000,"AHHHF13A1"
1278992585000,"ASSSF56A0"
1278992705000,"ATTTF301B"
1278992710000,"ATTTF301J"
1278992825000,"AOOOF68A0"
1278992832000,"AOOOF64A0"
1278993180000,"AOOOF66A0"
1278993305000,"AMMMF06A0"
1278993315000,"ATTTF310B"
1278993335000,"AMMMF05A0"
1278993785000,"AOOOF68A0"
1278993792000,"AOOOF64A0"
1278994985000,"ASSSF06A0"
1278995705000,"AOOOF62A0"
1278995735000,"AOOOF77A0"
1278995755000,"AOOOF05A0"
1278995825000,"AOOOF06A0"
1278996776000,"AAAAF60A1"
1278996781000,"AAAAF23G1"
1278996786000,"AAAAF57A1"
1278996791000,"AAAAF20C1"
1278997925000,"ASSSF01A0"
1278997985000,"ASSSF53A0"
1279000381000,"AAAAF23B2"
1279000385000,"ASSSF06A0"
1279000405000,"AAAAF19E1"
1279000501000,"AAAAF20E1"
1279000506000,"AAAAF20E1"
1279000511000,"AAAAF20E1"
1279000516000,"AAAAF93A1"
1279000546000,"AAAAF19D1"
1279000560000,"AAAAF59A1"
1279000621000,"AAAAF20C1"
1279000626000,"AAAAF19A1"
1279000661000,"AAAAF85A1"
1279000671000,"AAAAF10A1"
1279000676000,"AAAAF87A1"
1279000681000,"AAAAF06A1"
1279001877000,"SCMN.0000002042"
1279004576000,"MAPO.0000008356"
1279011162000,"AAAAF01A3"
1279011325000,"AAAAF03A1"
